,Title,Console,Genre,Critic_Score,Total_Sales,NorthAmerica_Sales,Japan_Sales,EuropeAndAfrica_Sales,World_Sales,Release_Year
11000,Sushi Academy,DS,Action,8.1,0.09,0.08,0.0,0.0,0.01,2009
11001,DaGeDar,DS,Action,8.1,0.09,0.08,0.0,0.0,0.01,2011
11002,Ultimate Card Games DS,DS,Strategy,8.1,0.08,0.07,0.0,0.0,0.01,2008
11003,The Idolmaster: Gravure For You! Vol. 3,PS3,Action,8.1,0.08,0.0,0.08,0.0,0.0,2011
11004,Metal Gear Survive,XOne,Action,8.1,0.07,0.05,0.0,0.01,0.01,2018
11005,Dynasty Warriors 3,XB,Action,8.1,0.08,0.06,0.0,0.02,0.0,2002
11006,Auto Destruct,PS,Action,8.1,0.08,0.04,0.0,0.03,0.01,1998
11007,Resident Evil 3: Nemesis,GC,Action,5.7,0.08,0.06,0.0,0.02,0.0,2003
11008,Aliens in the Attic,Wii,Action,5.7,0.08,0.07,0.0,0.0,0.01,2009
11009,Dead Island Definitive Collection,XOne,Action,5.7,0.09,0.05,0.0,0.03,0.01,2016
11010,Cartoon Network: Battle Crashers,NS,Action,5.7,0.09,0.04,0.0,0.04,0.01,2017
11011,Looney Tunes: Acme Arsenal,X360,Action,5.7,0.07999999999999999,0.06,0.0,0.01,0.01,2007
11012,Batman: Dark Tomorrow,GC,Action,2.3,0.08,0.06,0.0,0.02,0.0,2003
11013,Tomb Raider: Legend,GC,Action,7.9,0.08,0.06,0.0,0.02,0.0,2006
11014,Seven Samurai 20XX,PS2,Action,7.9,0.08,0.04,0.0,0.03,0.01,2004
11015,The Croods: Prehistoric Party!,DS,Action,7.9,0.08,0.03,0.0,0.04,0.01,2013
11016,Monkey Hero,PS,Action,7.9,0.07,0.04,0.0,0.03,0.0,1999
11017,Akiba's Beat,PS4,Action,7.9,0.07,0.05,0.01,0.0,0.01,2017
11018,The Legend of Kage 2,DS,Action,7.9,0.08,0.07,0.0,0.0,0.01,2008
11019,Samurai Western,PS2,Action,7.9,0.08,0.04,0.0,0.03,0.01,2005
11020,Evil Dead: Regeneration,XB,Action,7.9,0.08,0.06,0.0,0.02,0.0,2005
11021,Toy Soldiers: War Chest,XOne,Action,7.9,0.08,0.07,0.0,0.0,0.01,2015
11022,Fatal Frame III: The Tormented,PS2,Action,7.7,0.08,0.04,0.0,0.03,0.01,2005
11023,Zero: Tsukihami no Kamen,Wii,Action,7.5,0.08,0.0,0.08,0.0,0.0,2008
11024,Legend of Kay Anniversary,PS4,Action,7.5,0.06999999999999999,0.03,0.0,0.03,0.01,2015
11025,Ninjabread Man,Wii,Action,7.5,0.08,0.07,0.0,0.0,0.01,2007
11026,Harry Potter and the Sorcerer's Stone,GC,Action,7.5,0.08,0.06,0.0,0.02,0.0,2003
11027,Jikkyou Powerful Pro Yakyuu Next,Wii,Sports,7.5,0.08,0.0,0.08,0.0,0.0,2009
11028,Pro Evolution Soccer 2013,PC,Sports,7.5,0.08,0.0,0.0,0.07,0.01,2012
11029,Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,Action,7.5,0.08,0.0,0.08,0.0,0.0,2016
11030,C.O.P.: The Recruit,DS,Action,5.7,0.08,0.05,0.0,0.02,0.01,2009
11031,Dead Rising,PS4,Action,5.7,0.06999999999999999,0.04,0.02,0.0,0.01,2016
11032,The Secret Saturdays: Beasts of the 5th Sun,DS,Action,5.7,0.09,0.08,0.0,0.0,0.01,2009
